ipa,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,front,round,velaric,tense,long,hitone,hireg,name
b͡vʲ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
p͡fːʲ,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
b͡vːʲ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,-,-,-,-,-,+,-,-,
p͡fˠ,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
b͡vˠ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
p͡fːˠ,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
b͡vːˠ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,-,-,-,-,+,-,-,
p͡fʷˠ,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
b͡vʷˠ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
p͡fʷː,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
b͡vʷː,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
k͡xˤ,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɡ͡ɣˤ,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
k͡xˤː,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
ɡ͡ɣˤː,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,-,
k͡xʷˤ,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ɡ͡ɣʷˤ,-,-,+,-,+,-,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʈ͡ʂʷˤ,-,-,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
ɖ͡ʐʷˤ,-,-,+,-,+,-,-,-,+,-,-,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
c͡çˤ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɟ͡ʝˤ,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
c͡çˤː,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,-,-,-,+,-,-,
ɟ͡ʝˤː,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,+,-,-,
c͡çʷˤ,-,-,+,-,+,-,-,-,-,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
d͡ʒʷˤ,-,-,+,-,+,-,-,-,+,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
t͡sʷˤ,-,-,+,-,+,-,-,-,-,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
d͡zʷˤ,-,-,+,-,+,-,-,-,+,-,-,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡s̪ʷˤ,-,-,+,-,+,-,-,-,-,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
d̪͡z̪ʷˤ,-,-,+,-,+,-,-,-,+,-,-,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
p͡ɸʷˤ,-,-,+,-,+,-,-,-,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
p͡fʷˤ,-,-,+,-,+,-,-,+,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
b͡βʷˤ,-,-,+,-,+,-,-,-,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
b͡vʷˤ,-,-,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ʈ͡ʂˀ,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖ͡ʐ̰,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʈ͡ʂʼː,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɖ͡ʐ̰ː,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪͡s̪ˀ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪͡z̪̰,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪͡s̪ʼː,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪͡z̪̰ː,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
p͡ɸˀ,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡β̰,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
p͡ɸʼː,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
b͡β̰ː,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʈ͡ʂˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖ͡ʐ̰ˤ,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
t̪͡s̪ˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪͡z̪̰ˤ,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
p͡ɸˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
b͡β̰ˤ,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
q͡χˀ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɢ͡ʁ̰,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
q͡χʼː,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɢ͡ʁ̰ː,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
t͡ʃˀ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
d͡ʒ̰,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
t͡ʃʼː,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡ʒ̰ː,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
t͡sˀ,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡z̰,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t͡sʼː,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d͡z̰ː,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
p͡fˀ,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡v̰,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
p͡fʼː,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
b͡v̰ː,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
q͡χˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢ͡ʁ̰ˤ,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
t͡ʃˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
d͡ʒ̰ˤ,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
t͡sˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d͡z̰ˤ,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
p͡fˤʼ,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
b͡v̰ˤ,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʈ͡ʂʼʲ,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖ͡ʐ̰ʲ,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖ͡ʐ̰ˠ,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ʈ͡ʂʼʷ,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɖ͡ʐʷˀ,-,-,+,-,+,-,-,-,+,-,+,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
t̪͡s̪ʼʲ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪͡z̪̰ʲ,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪͡z̪̰ˠ,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
t̪͡s̪ʼʷ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
d̪͡z̪ʷˀ,-,-,+,-,+,-,-,-,+,-,+,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
p͡ɸʼʲ,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡β̰ʲ,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡β̰ˠ,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
p͡ɸʼʷ,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
b͡βʷˀ,-,-,+,-,+,-,-,-,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
k͡xˀ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̰,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
k͡xʼː,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɡ͡ɣ̰ː,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
k͡xʼʲ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̰ʲ,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̰ˠ,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
k͡xʼʷ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɡ͡ɣʷˀ,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
c͡çʼʲ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɟ͡ʝ̰,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
c͡çʼː,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɟ͡ʝ̰ː,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
d͡ʒ̰ˠ,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
c͡çʼʷ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
ɟ͡ʝʷˀ,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
t͡sʼʲ,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡z̰ʲ,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,
d͡z̰ˠ,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,-,-,-,-,-,-,
t͡sʼʷ,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
d͡zʷˀ,-,-,+,-,+,-,-,-,+,-,+,+,+,-,-,+,-,+,-,+,-,-,-,-,-,
p͡fʼʲ,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡v̰ʲ,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡v̰ˠ,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
p͡fʼʷ,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
b͡vʷˀ,-,-,+,-,+,-,-,+,+,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
k͡xˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
ɡ͡ɣ̰ˤ,-,-,+,-,+,-,-,-,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,
q͡χʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,-,-,-,+,+,+,-,+,-,-,-,-,-,
ʈ͡ʂʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,-,-,+,+,+,-,+,-,-,-,-,-,
c͡çˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
ɟ͡ʝ̰ˤ,-,-,+,-,+,-,-,-,+,-,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,
c͡çʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,-,+,+,-,+,+,+,-,+,-,-,-,-,-,
t͡sʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,-,-,+,+,+,-,+,-,-,-,-,-,
t̪͡s̪ʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,
p͡ɸʷˤʼ,-,-,+,-,+,-,-,-,-,-,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
p͡fʷˤʼ,-,-,+,-,+,-,-,+,-,-,+,+,-,-,+,+,+,+,-,+,-,-,-,-,-,
ʈ͡ʂʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ɖ͡ʐ̤,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,
ʈ͡ʂʰː,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
ɖ͡ʐʰː,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,
t̪͡θʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
d̪͡z̪̤,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,-,
t̪͡s̪ʰː,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
d̪͡z̪ʰː,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,+,-,-,
p͡ɸʰ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡β̤,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
p͡ɸʰː,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
b͡βʰː,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
ʈ͡ʂˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
ɖ͡ʐˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,
t̪͡s̪ˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
d̪͡z̪ˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,-,
p͡ɸˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
b͡βˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
q͡χʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
ɢ͡ʁ̤,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,
q͡χʰː,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
ɢ͡ʁʰː,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,-,+,-,-,-,-,+,-,-,
t͡ʃʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
d͡ʒ̤,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,
t͡ʃʰː,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
d͡ʒʰː,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,-,+,-,-,
t͡sʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
d͡z̤,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,
t͡sʰː,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
d͡zʰː,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,
p͡fʰ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
b͡v̤,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,
p͡fʰː,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
b͡vʰː,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-,-,-,-,-,-,-,+,-,-,
q͡χˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
ɢ͡ʁˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,
t͡ʃˤʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
d͡ʒˤʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,-,+,+,-,-,-,-,-,-,-,
t͡sˤʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
d͡zˤʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,
p͡fˤʰ,-,-,+,-,+,-,-,+,-,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
b͡vˤʰ,-,-,+,-,+,-,-,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,
ʈ͡ʂʰʲ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ɖ͡ʐʰʲ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,
ʈ͡ʂʰᶣ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ɖ͡ʐʰᶣ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,-,-,-,-,
ʈ͡ʂʰˠ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ɖ͡ʐʰˠ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,
ʈ͡ʂʷʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ɖ͡ʐʷʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,-,-,-,
ʈ͡ʂʷʰː,-,-,+,-,+,-,-,-,-,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
ɖ͡ʐʷʰː,-,-,+,-,+,-,-,-,+,+,-,-,+,-,-,+,-,+,-,+,-,-,+,-,-,
t̪͡s̪ʰʲ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
d̪͡z̪ʰʲ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,
t̪͡s̪ʰᶣ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
d̪͡z̪ʰᶣ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,-,-,-,+,-,-,-,-,-,
t̪͡s̪ʰˠ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
d̪͡z̪ʰˠ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,-,+,-,-,-,-,-,-,-,
t̪͡s̪ʲʷʰ,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
d̪͡z̪ʷʰ,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,-,-,-,
t̪͡s̪ʷʰː,-,-,+,-,+,-,-,-,-,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
d̪͡z̪ʷʰː,-,-,+,-,+,-,-,-,+,+,-,+,+,+,-,+,-,+,-,+,-,-,+,-,-,
p͡ɸʰʲ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
b͡βʰʲ,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,-,
p͡ɸʰˠ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
b͡βʰˠ,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,
p͡ɸʷʰ,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
b͡βʷʰ,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,
p͡ɸʷʰː,-,-,+,-,+,-,-,-,-,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
b͡βʷʰː,-,-,+,-,+,-,-,-,+,+,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,
k͡xʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣ̤,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
k͡xʰː,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
ɡ͡ɣʰː,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,
k͡xʰʲ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
ɡ͡ɣʰʲ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,
k͡xʰᶣ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
ɡ͡ɣʰᶣ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,
k͡xʰˠ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
ɡ͡ɣʰˠ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,
k͡xʷʰ,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
ɡ͡ɣʷʰ,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,-,-,-,
k͡xʷʰː,-,-,+,-,+,-,-,-,-,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
ɡ͡ɣʷʰː,-,-,+,-,+,-,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,+,-,-,
c͡çʰʲ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
ɟ͡ʝ̤,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,
c͡çʰː,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
ɟ͡ʝʰː,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,-,-,-,+,-,-,
c͡çʰᶣ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,
d͡ʒʰᶣ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,-,-,+,-,-,-,-,-,
c͡çʰˠ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
d͡ʒʰˠ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,
t͡ɕʲʷʰ,-,-,+,-,+,-,-,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
d͡ʑʲʷʰ,-,-,+,-,+,-,-,-,+,+,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,
